,date,location,stringency_index
0,2020-02,Afghanistan,8.33
1,2020-03,Afghanistan,40.831935483870964
2,2020-04,Afghanistan,80.74000000000001
3,2020-05,Afghanistan,84.26
4,2020-06,Afghanistan,84.07466666666667
5,2020-07,Afghanistan,78.7
6,2020-08,Afghanistan,56.84096774193548
7,2020-09,Afghanistan,28.7
8,2020-10,Afghanistan,17.057096774193546
9,2020-11,Afghanistan,11.298666666666666
10,2020-12,Afghanistan,12.04
11,2021-01,Afghanistan,12.04
12,2021-02,Afghanistan,12.040000000000001
13,2021-03,Afghanistan,24.106129032258064
14,2021-04,Afghanistan,26.85
15,2021-05,Afghanistan,33.30225806451613
16,2021-06,Afghanistan,44.417
17,2021-07,Afghanistan,53.7341935483871
18,2021-08,Afghanistan,35.57032258064516
19,2021-09,Afghanistan,27.348333333333333
20,2021-10,Afghanistan,33.993870967741934
21,2021-11,Afghanistan,27.780000000000005
22,2021-12,Afghanistan,23.74451612903226
23,2022-01,Afghanistan,19.44
24,2022-02,Afghanistan,19.44
25,2022-03,Afghanistan,17.295483870967743
26,2022-04,Afghanistan,16.67
27,2022-05,Afghanistan,12.724193548387097
28,2022-06,Afghanistan,11.109999999999998
29,2022-07,Afghanistan,11.11
30,2022-08,Afghanistan,11.11
31,2022-09,Afghanistan,11.11
66,2020-02,Albania,8.33
67,2020-03,Albania,58.57096774193548
68,2020-04,Albania,86.665
69,2020-05,Albania,87.4216129032258
70,2020-06,Albania,70.466
71,2020-07,Albania,63.85677419354838
72,2020-08,Albania,58.125483870967734
73,2020-09,Albania,54.63
74,2020-10,Albania,54.63
75,2020-11,Albania,60.309666666666665
76,2020-12,Albania,62.45483870967742
77,2021-01,Albania,58.99322580645161
78,2021-02,Albania,60.19
79,2021-03,Albania,60.19
80,2021-04,Albania,56.66866666666667
81,2021-05,Albania,55.141290322580645
82,2021-06,Albania,39.628
83,2021-07,Albania,37.96
84,2021-08,Albania,38.29
85,2021-09,Albania,41.391333333333336
86,2021-10,Albania,44.44
87,2021-11,Albania,45.12199999999999
88,2021-12,Albania,46.26806451612903
89,2022-01,Albania,51.73290322580645
90,2022-02,Albania,60.245357142857145
91,2022-03,Albania,44.23548387096774
92,2022-04,Albania,45.586
93,2022-05,Albania,15.173548387096774
94,2022-06,Albania,11.109999999999998
95,2022-07,Albania,11.11
96,2022-08,Albania,11.11
97,2022-09,Albania,11.11
99,2020-02,Algeria,0.0
100,2020-03,Algeria,37.48612903225806
101,2020-04,Algeria,86.15533333333333
102,2020-05,Algeria,77.56677419354838
103,2020-06,Algeria,70.55433333333332
104,2020-07,Algeria,72.54838709677419
105,2020-08,Algeria,79.98903225806451
106,2020-09,Algeria,75.93
107,2020-10,Algeria,75.63000000000001
108,2020-11,Algeria,71.69733333333333
109,2020-12,Algeria,72.22
110,2021-01,Algeria,72.22
111,2021-02,Algeria,71.525
112,2021-03,Algeria,75.0
113,2021-04,Algeria,78.33533333333334
114,2021-05,Algeria,66.34935483870967
115,2021-06,Algeria,53.05233333333333
116,2021-07,Algeria,50.59451612903226
117,2021-08,Algeria,49.07
118,2021-09,Algeria,53.27133333333333
119,2021-10,Algeria,48.682903225806456
120,2021-11,Algeria,40.489333333333335
121,2021-12,Algeria,49.641935483870974
122,2022-01,Algeria,55.821612903225805
123,2022-02,Algeria,54.89392857142857
124,2022-03,Algeria,51.96967741935484
125,2022-04,Algeria,49.04566666666666
126,2022-05,Algeria,45.32
127,2022-06,Algeria,45.32
128,2022-07,Algeria,45.32
129,2022-08,Algeria,45.32
130,2022-09,Algeria,45.32
132,2020-03,Andorra,23.887333333333334
133,2020-04,Andorra,54.474666666666664
134,2020-05,Andorra,50.89677419354839
135,2020-06,Andorra,42.59
136,2020-07,Andorra,39.51838709677419
137,2020-08,Andorra,41.67
138,2020-09,Andorra,44.44666666666667
139,2020-10,Andorra,51.79354838709677
140,2020-11,Andorra,55.56000000000001
141,2020-12,Andorra,53.49741935483871
142,2021-01,Andorra,53.318064516129034
143,2021-02,Andorra,55.56
144,2021-03,Andorra,54.84258064516129
145,2021-04,Andorra,52.78
146,2021-05,Andorra,46.50709677419355
147,2021-06,Andorra,43.798
148,2021-07,Andorra,46.3
149,2021-08,Andorra,51.49193548387097
150,2021-09,Andorra,51.85
151,2021-10,Andorra,47.457741935483874
152,2021-11,Andorra,45.27766666666666
153,2021-12,Andorra,52.04709677419355
154,2022-01,Andorra,38.61354838709677
155,2022-02,Andorra,26.359999999999996
156,2022-03,Andorra,15.648387096774194
157,2022-04,Andorra,8.33
158,2022-05,Andorra,8.33
159,2022-06,Andorra,7.314333333333334
160,2022-07,Andorra,5.56
161,2022-08,Andorra,5.56
162,2022-09,Andorra,5.56
163,2022-10,Andorra,5.56
164,2020-03,Angola,49.844166666666666
165,2020-04,Angola,87.52933333333334
166,2020-05,Angola,78.52483870967743
167,2020-06,Angola,76.36166666666668
168,2020-07,Angola,76.45064516129032
169,2020-08,Angola,78.18354838709678
170,2020-09,Angola,78.00999999999999
171,2020-10,Angola,70.1632258064516
172,2020-11,Angola,59.217
173,2020-12,Angola,65.20258064516128
174,2021-01,Angola,63.318709677419356
175,2021-02,Angola,60.083571428571425
176,2021-03,Angola,57.91258064516129
177,2021-04,Angola,58.02333333333333
178,2021-05,Angola,40.58806451612903
179,2021-06,Angola,48.193
180,2021-07,Angola,56.94
181,2021-08,Angola,56.94
182,2021-09,Angola,63.89
183,2021-10,Angola,61.0658064516129
184,2021-11,Angola,56.69533333333334
185,2021-12,Angola,67.9216129032258
186,2022-01,Angola,70.05096774193548
187,2022-02,Angola,65.31678571428571
188,2022-03,Angola,47.3316129032258
189,2022-04,Angola,42.28833333333333
190,2022-05,Angola,43.171290322580646
191,2022-06,Angola,39.701
192,2022-07,Angola,28.254193548387097
193,2022-08,Angola,28.192903225806454
194,2022-09,Angola,28.161199999999997
260,2020-01,Argentina,9.998999999999999
261,2020-02,Argentina,11.11
262,2020-03,Argentina,51.70258064516129
263,2020-04,Argentina,98.45700000000001
264,2020-05,Argentina,90.2625806451613
265,2020-06,Argentina,89.13666666666667
266,2020-07,Argentina,91.87387096774194
267,2020-08,Argentina,88.25935483870968
268,2020-09,Argentina,87.96
269,2020-10,Argentina,83.95870967741935
270,2020-11,Argentina,79.63166666666666
271,2020-12,Argentina,79.17
272,2021-01,Argentina,79.17
273,2021-02,Argentina,78.43928571428572
274,2021-03,Argentina,72.69935483870968
275,2021-04,Argentina,76.385
276,2021-05,Argentina,82.69064516129033
277,2021-06,Argentina,77.80933333333334
278,2021-07,Argentina,75.0
279,2021-08,Argentina,75.75
280,2021-09,Argentina,75.93
281,2021-10,Argentina,42.59
282,2021-11,Argentina,40.266333333333336
283,2021-12,Argentina,35.95870967741936
284,2022-01,Argentina,27.549999999999997
285,2022-02,Argentina,25.23392857142857
286,2022-03,Argentina,20.337419354838712
287,2022-04,Argentina,17.766333333333332
288,2022-05,Argentina,17.565483870967743
289,2022-06,Argentina,17.503333333333334
290,2022-07,Argentina,17.46451612903226
291,2022-08,Argentina,15.983548387096775
292,2022-09,Argentina,13.408076923076923
327,2020-03,Aruba,39.17947368421053
328,2020-04,Aruba,85.55999999999999
329,2020-05,Aruba,74.49290322580646
330,2020-06,Aruba,50.029666666666664
331,2020-07,Aruba,47.22
332,2020-08,Aruba,64.0674193548387
333,2020-09,Aruba,63.394
334,2020-10,Aruba,54.74612903225806
335,2020-11,Aruba,42.68633333333333
336,2020-12,Aruba,34.82645161290323
337,2021-01,Aruba,41.93709677419355
338,2021-02,Aruba,54.628571428571426
339,2021-03,Aruba,57.55516129032258
340,2021-04,Aruba,62.90333333333333
341,2021-05,Aruba,53.435806451612905
342,2021-06,Aruba,37.096666666666664
343,2021-07,Aruba,29.20806451612903
344,2021-08,Aruba,40.17354838709678
345,2021-09,Aruba,34.692
346,2021-10,Aruba,34.26
347,2021-11,Aruba,34.26
348,2021-12,Aruba,34.26
349,2022-01,Aruba,39.156774193548394
350,2022-02,Aruba,29.0975
351,2022-03,Aruba,27.53838709677419
352,2022-04,Aruba,25.93
353,2022-05,Aruba,25.93
354,2022-06,Aruba,25.93
355,2022-07,Aruba,25.93
356,2022-08,Aruba,25.93
357,2022-09,Aruba,25.93
358,2022-10,Aruba,25.929999999999996
393,2020-01,Australia,5.56
394,2020-02,Australia,19.057241379310348
395,2020-03,Australia,38.648709677419355
396,2020-04,Australia,71.10966666666667
397,2020-05,Australia,67.35225806451614
398,2020-06,Australia,55.01433333333333
399,2020-07,Australia,69.81935483870969
